TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
SGT BILKO,SGT BILKO,DENIED,"NEVER RECEIVED FORMAL REQUEST. BUT SAAV PERSONALLY TOLD IMAGINE ENTERTAINMENT CO-OWNER BRIAN GLAZER ""HOPELESS"", AND OCPA-LA TOLD UNIVERSAL EXECUTIVE ANDY GIVEN AND IMAGINE ENTERTAINMENT EXECUTIVE THAT IT IS HOPELESS. COMPLETELY NEGATIVE, INACCURATE. IMPOSSIBLE TO ALTER BY ANY MEANS OTHER THAN TOTAL REWRITE AND COMPLETELY NEW FILM.",,,,,,TRUE,1996,3/29/1996,"Steve Martin, Dan Aykroyd, Phil Hartman, Glenne Headly",1 win.,TRUE,USA,Jonathan Lynn,Comedy,"Sgt. Bilko is in charge of the Motor Pool at an Army base. He's also a good-natured con man, providing gambling facilities for the soldiers on base. When an old enemy from his past shows up to inspect his records and steal away his fiance̩, Sgt. Bilko has to put his skills to creative use...",https://m.media-amazon.com/images/M/MV5BNDI2NzBhMzYtZjk4Zi00M2U0LWJjYTEtNWJlZDY0MDk5OWY1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,,93,Sgt. Bilko,31%,47,5.9,tt0117608,"21,257"
HELL IS FOR HEROES,HELL IS FOR HEROES,APPROVED,"WORLD WAR II DRAMA ABOUT A SMALL UNIT FORCED TO TRY TO STOP A GERMAN ATTACK. ARMY PROVIDED MEN AND EQUIPMENT TO STAGE BATTLE SCENES. FILM CONSIDERED BETTER THAN MOST OF TYPE IN PART DUE TO WRITING OF ROBERT PIROSH, WHO PREVIOUSLY WON AN OSCAR FOR ""BATTLEGROUND.""",,,,,,TRUE,1962,6/26/1962,"Steve McQueen, Bobby Darin, Fess Parker, Harry Guardino",,FALSE,USA,Don Siegel,"Drama, War","World War II drama where the action centers around a single maneuver by a squad of GIs in retaliation against the force of the German Siegfried line. Reese joins a group of weary GIs unexpectedly ordered back into the line when on their way to a rest area. While most of the men withdraw from their positions facing a German pillbox at the far side of a mine-field, half a dozen men are left to protect a wide front. By various ruses, they manage to convince the Germans that a large force is still holding the position. Then Reese leads two of the men in an unauthorized and unsuccessful attack on the pillbox, in which the other two are killed; and when the main platoon returns, he is threatened with court-martial. Rather that face the disgrace, and in an attempt to show he was right, he makes a one-man attack on the pillbox.",https://m.media-amazon.com/images/M/MV5BMzgyY2I0M2YtMGVkYy00NWNlLTg5MWYtODk0ZjE4MmJjMTJmL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,Vietnam War,90,Hell Is for Heroes,83%,76,6.9,tt0056062,"6,298"
INDEPENDENCE DAY,INDEPENDENCE DAY,DENIED,"NO COOPERATION DUE TO IMPLAUSIBLE PORTRAYAL OF MILITARY AND STORY CENTERED ON ALIENS ATTACKING FROM SPACE, AND ANEMIC US MILITARY RESPONSE. ON OR ABOUT 1995, BECAME OBVIOUS THAT THE COMPANY WAS GOING TO GO ITS OWN WAY AND MAKE PICTURE WITHOUT US. NO FORMAL LETTER FROM DOD.",TRUE,1,"NO COOPERATION DUE TO IMPLAUSIBLE PORTRAYAL OF MILITARY AND STORY CENTERED ON ALIENS ATTACKING FROM SPACE, AND ANEMIC US MILITARY RESPONSE.",,,TRUE,1996,7/3/1996,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",Won 1 Oscar. Another 34 wins & 35 nominations.,TRUE,USA,Roland Emmerich,"Action, Adventure, Sci-Fi","On July 2nd, communications systems worldwide are sent into chaos by a strange atmospheric interference. It is soon learned by the military that a number of enormous objects are on a collision course with Earth. At first thought to be meteors, they are later revealed to be gigantic spacecraft, piloted by a mysterious alien species. After attempts to communicate with the aliens go nowhere, David Levinson, an ex-scientist turned cable technician, discovers that the aliens are going to attack major points around the globe in less than a day. On July 3rd, the aliens all but obliterate New York, Los Angeles and Washington, as well as Paris, London, Houston and Moscow. The survivors set out in convoys towards Area 51, a strange government testing ground where it is rumored the military has a captured alien spacecraft of their own. The survivors devise a plan to fight back against the enslaving aliens, and July 4th becomes the day humanity will fight for its freedom. July 4th is their Independence Day...",https://m.media-amazon.com/images/M/MV5BMGQwNDNkMmItYWY1Yy00YTZmLWE5OTAtODU0MGZmMzQ1NDdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,,145,Independence Day,67%,59,7,tt0116629,"521,828"
BEACHHEAD,BEACHHEAD,LIMITED,"MARINE CORPS INITIALLY TURNED DOWN REQUEST FOR COOPERATION SINCE FILM HAD A 50% CASUALTY RATE AT A TIME SERVICE WAS GEARING UP A MAJOR RECRUITING CAMPAIGN. FOUR MEN GO ON PATROL AND TWO DIE. HOWEVER, MARINES LIKED COMPLETED FILM AND PROVIDED THE MARINE BAND AT THE PREMIERE.",,,,,,TRUE,1954,2/5/1954,"Tony Curtis, Frank Lovejoy, Mary Murphy, Eduard Franz",,FALSE,USA,Stuart Heisler,"Drama, War","On a Japanese-occupied island during World War II, only two soldiers remain alive after a mission attempt goes horribly wrong. Trapped on the island, they must escort a scientist and his daughter to the other side of the island where their ship awaits. They must battle nature, hard terrain, and advancing Japanese troops.",https://m.media-amazon.com/images/M/MV5BN2ExMmNmYjgtMmI0ZC00Y2MzLThjZDAtNTkxNGZhYThlYzcyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,Approved,,90,Beachhead,42%,,5.8,tt0046757,836
STORY OF G.I. JOE,STORY OF G.I. JOE,APPROVED,"MOVIE BASED ON WRITING OF ERNIE PYLE AND HIS COVERING OF THE ITALIAN CAMPAIGN. THE ARMY PROVIDED A UNIT TO SERVE AS EXTRAS AND EQUIPMENT DURING FILMING. AFTERWARDS, THE UNIT WENT TO THE PACIFIC AND SUFFERED SIGNIFICANT CASUALTIES. CONSIDERED ONE OF THE GREAT WAR MOVIES OF ALL TIME.",,,,,,TRUE,1945,7/13/1945,"Burgess Meredith, Robert Mitchum, Freddie Steele, Wally Cassell",Nominated for 4 Oscars. Another 2 wins & 4 nominations.,TRUE,USA,William A. Wellman,"Biography, Drama, War","The story of men at war and that of the esteemed Pulitzer prize winning war correspondent Ernie Pyle. Soon after the U.S. entry into World War II, Pyle joined C Company, 18th Infantry in North Africa. There he got to know the men and often wrote about them in his columns mentioning them by name, something both the soldiers and their families back home appreciated. Pyle moved to other units but as C Company is the first he went into combat with, he considers them ""his"" company and rejoins them in Italy. Many will die but his reporting brings a human face to war.",https://m.media-amazon.com/images/M/MV5BZTJlMmRiZmItOWUwNy00ZDFlLWIzNzQtMzZlZmRmYzMyMjRiXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Approved,World War II,108,Story of G.I. Joe,77%,,7.2,tt0038120,"2,918"
DEVIL DOGS OF THE AIR,DEVIL DOGS OF THE AIR,APPROVED,"MARINES AND NAVY PROVIDED FULL COOPERATION FOR STORY ABOUT MARINE AVIATION IN PEACETIME. FILM INCLUDES AN AIR AND SEA ASSAULT EXERCISE. HOWEVER, FILM DOES NOT EXPLAIN THE DIFFERENT MISSIONS OF NAVY AND MARINE AVIATORS FLYING FROM AIRCRAFT CARRIERS. RARE DEPICTION OF MARINE FLIERS TAKING OFF FROM AIRCRAFT CARRIER",,,,,,TRUE,1935,2/9/1935,"James Cagney, Pat O'Brien, Margaret Lindsay, Frank McHugh",,FALSE,USA,Lloyd Bacon,"Action, Drama, Comedy, Romance",A talented but brash stunt pilot enters the Marine Corps and becomes more disciplined.,https://m.media-amazon.com/images/M/MV5BOWUzYWM1MjItYWQyMC00YjE3LWJkYTQtMjZjN2I0ZmM3NjAxXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,Approved,,85,Devil Dogs of the Air,91%,,6.1,tt0026275,316
LIMBO,LIMBO,DENIED,"NAVY TURNED DOWN REQUEST FOR LIMITED ASSISTANCE ON GROUNDS THAT IT SHOWED POW WIVES BEING UNFAITHFUL AND THAT COMPLETED FILM WOULD BE SHOWN IN NORTH VIETNAM AS SOON AS IT WAS RELEASED IN US. AND THE WIVES' INFIDELITY WOULD HURT POW MORALE, ESPECIALLY IF FILM HAD RECEIVED MILITARY SUPPORT.",,,,,,TRUE,1972,11/1/1972,"Kate Jackson, Katherine Justice, Stuart Margolin, Hazel Medina",,FALSE,USA,Mark Robson,Drama,,,PG,Vietnam War,112,Limbo,,,5.9,tt0068860,28
"INNOCENT, THE",THE INNOCENT,LIMITED,"APPROVED USE OF EXTERIOR OF TEMPELHOF AIRPORT IN BERLIN (AIR FORCE CONTROLLED) TO SERVE AS A PERIOD BACKGROUND FOR FILM, BASED ON USIA/AMERICAN EMBASSY BONN REQUEST & THE FACT THAT THE FACILITY WOULD SOON BE TURNED OVER TO THE GERMAN GOVT -- COURTESY ASSISTANCE. NOT RELEASED IN US UNTIL 1999",,,,,,TRUE,1993,9/1/1995,"Anthony Hopkins, Isabella Rossellini, Campbell Scott, Ronald Nitschke",,FALSE,"Germany, UK",John Schlesinger,Drama,"A young engineer is sent to post-WWII Berlin to help the Americans in spying on the Russians. In a time and place where discretion is still a man's best friend, he falls in love with a mysterious woman who will take him on the dark side of evil.",https://m.media-amazon.com/images/M/MV5BMzBmZTljNmUtY2VlOS00Yjg0LTg2ZDUtYTkzNDVhNTk2MWYxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzA3Njg4MzY@._V1_SX300.jpg,R,,119,The Innocent,,,5.6,tt0106185,"1,458"
COLOSSUS: THE FORBIN PROJECT,COLOSSUS: THE FORBIN PROJECT,DENIED,"THIS IS A CLASSIC SCIENCE FICTION, COMPUTER FILM IN WHICH COMPUTERS BUILT BY THE US AND THE SOVIET UNION TO CONTROL MILITARY ACTIVITIES JOIN TOGETHER TO TAKE OVER THE WORLD. NO COOPERATION. MILITARY HAS A PRIMARY ROLE IN FILM BUT IS PORTRAYED AS HELPLESS TO PROTECT THE WORLD AGAINST COMPUTERS.",,,,,,TRUE,1970,4/8/1970,"Eric Braeden, Susan Clark, Gordon Pinsent, William Schallert",1 win & 1 nomination.,TRUE,USA,Joseph Sargent,"Sci-Fi, Thriller","Forbin is the designer of an incredibly sophisticated computer that will run all of America's nuclear defenses. Shortly after being turned on, it detects the existence of Guardian, the Soviet counterpart, previously unknown to US Planners. Both computers insist that they be linked, and after taking safeguards to preserve confidential material, each side agrees to allow it. As soon as the link is established the two become a new Super computer and threaten the world with the immediate launch of nuclear weapons if they are detached. Colossus begins to give its plans for the management of the world under its guidance. Forbin and the other scientists form a technological resistance to Colossus which must operate underground.",https://m.media-amazon.com/images/M/MV5BMDdjNzg0OTYtYTAyYy00YzBhLTkxMGYtNTVlNjM3ODNjMzNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,M,Vietnam War,100,Colossus: The Forbin Project,88%,,7.1,tt0064177,"8,022"
"VISITING, THE",THE VISITING,APPROVED,"APPROVED FLYING ARMY UH-60 BLACK HAWK HELICOPTER (FROM FT BELVOIR) TO ENACT A RESCUE MILITARY RESCUE SCENE FOR END OF PICTURE. SCENE FILMED ON A ROOFTOP IN DOWNTOWN BALTIMORE. A TROUBLED PICTURE, FIRED DIRECTOR, REDONE ENDING. THERE WAS ADDITIONAL FILMING WITH A STATIC BLACK HAWK IN LA FOR REVISED ENDING.",,,,,,TRUE,2007,3/10/2007,"Peter Chu, David Rees-Thomas",,FALSE,Japan,Darryl Knickrehm,"Short, Horror, Mystery",A man grappling with remorse has a mysterious visitor one October eve. Who is the visitor? Are the events a descent in to madness? Or is this truly a ghostly visage haunting his every move?,,,Iraq War,8,The Visiting,,,6.7,tt0999925,18
"MARINES, LET'S GO","MARINES, LET'S GO",LIMITED,"MARINE CORPS DID NOT WANT TO COOPERATE WITH STORY SET ON KOREAN WAR BATTLEFIELDS AND COMEDY OLIRINS LEAVE IN TOKYO. HOWEVER, THE MARINES FELT THEY OWEO DIRECTOR RAOUL WALSH FOR THE EARLIER ""WHAT PRICE GLORY"" ANO ""BATTLE CRY"" AND SO GAVE HIM SOME MEN AND EQUIPMENT AT MARINE CORPS BASE, PENDLETON",,,,,,TRUE,1961,11/10/1961,"Tom Tryon, David Hedison, Tom Reese, Linda Hutchings",,FALSE,USA,Raoul Walsh,"Comedy, Drama, War","Four privates romp their way through occupied Japan while on leave, finding a little romance and some laughs. After it's over they head to the front lines of the Korean War where brutality and death are constant.",https://m.media-amazon.com/images/M/MV5BZGY2ODE0YmItM2UwNi00MWMyLTllYmYtODJiNjU2YmJmZGJkXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,,Vietnam War,103,"Marines, Let's Go",,,5.2,tt0055144,105
"HUNT FOR RED OCTOBER, THE",THE HUNT FOR RED OCTOBER,APPROVED,"THE SCRIPT WAS VERY POSITIVE FOR THE NAVY. (THIS FILM WAS RELEASED IN 1999 BUT FILMED IN 1939) THE FILM WAS APPROVED BY THE DEPARTMENT AND THE NAVY. ASSISTANCE INCLUDED USE OF AIRCRAFT, AN AIRCRAFT CARRIER, A SURFACE WARSHIP (USED TO DEPICT THE RED OCTOBER ENGINE ROOM) AND A NUCLEAR ATTACK SUBMARINE.",,,,,,TRUE,1990,3/2/1990,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill",Won 1 Oscar. Another 2 wins & 8 nominations.,TRUE,USA,John McTiernan,"Action, Adventure, Thriller","Soviets create a new nuclear submarine that runs silent due to a revolutionary propulsion system. Russian sub captain defects, goal of taking it to the U.S.A. to prevent the Russians from using the sub to wreak nuclear (missile) war against the U.S. Lots of plot turns and twists in this high-tech thriller.",https://m.media-amazon.com/images/M/MV5BZDdkODg3YzctMGVmZS00ZDM5LWIzNTctZDRlMjA5Mjc4MGViXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,PG,,135,The Hunt for Red October,89%,58,7.6,tt0099810,"175,743"
BIG MIRACLE,BIG MIRACLE,APPROVED,"INITIALLY REQUESTED THE USE OF A BRAC BASE (KULIS AIR BASE) -- EFFORTS FAILED BECAUSE FACILITIES REQUESTED WERE PUT INTO EMERGENCY USE BY BASE OFFICIALS. WE DID PROVIDE USE OF A SKY CRANE RELIC WHICH WAS DRESSED TO APPEAR AS A FUNCTIONAL AIRCRAFT, AND NUMEROUS OTHER HANGARS AND AKANG PERSONNEL AS EXTRAS.",,,,,,TRUE,2012,2/3/2012,"John Pingayak, Ahmaogak Sweeney, John Chase, Ishmael Angalook Hope",1 nomination.,TRUE,"USA, UK",Ken Kwapis,"Biography, Drama, Family, Romance",An animal-loving volunteer and a small-town news reporter are joined by a native Alaskan boy to rally an entire community - and eventually rival world superpowers - to save a family of majestic gray whales trapped by rapidly forming ice in the Arctic Circle.,https://m.media-amazon.com/images/M/MV5BMjEzNTg5MjA5NV5BMl5BanBnXkFtZTcwNjk0MTk5Ng@@._V1_SX300.jpg,PG,,107,Big Miracle,75%,61,6.5,tt1430615,"18,474"
DIRIGIBLE,DIRIGIBLE,APPROVED,"CLASSIC PEACETIME NAVY BUDDY FILM. WHILE STORY FOCUSED ON DIRIGIBLES, THE NAVY ALSO PROVIDED PLENTY OF AIRPLANES, MEN, SHIPS AS BACKGROUND, AND LOCATIONS. STORY IS A FANTASY OF A DIRIGIBLE RACING TO THE ANTARCTIC TO RESCUE A DOWNED EXPEDITION TRYING TO REACH THE SOUTH POLE. MISSION SUCCEEDS AND NAVY AVIATORS BECOME HEROES.",,,,,,TRUE,1931,4/4/1931,"Jack Holt, Ralph Graves, Fay Wray, Hobart Bosworth",,FALSE,USA,Frank Capra,Adventure,"A French explorer enlists the help of the US Navy in an expedition to the South Pole. There is competition between the airship division and fixed wing fliers, resolved in triumph and disasters.",https://m.media-amazon.com/images/M/MV5BMjEyYjg5OGEtZmE3Yi00ODlmLTgyMTctMGY5OTA1YzRiMjBhXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Passed,,100,Dirigible,57%,,6.3,tt0021799,540
BRIDGE AT REMAGEN,BRIDGE AT REMAGEN,OTHER,"FICTIONALIZED ACCOUNT OF THE CROSSING OF THE RHINE. SINCE MADE BEHIND THE IRON CURTAIN, THE US MILITARY COULD NOT PROVIDE ANY ASSISTANCE. HOWEVER, A RETIRED ARMY OFFICER SERVED AS THE TECHNICAL ADVISOR. IRONY IS THAT DAVID WOLPER, FAMOUS FOR DOCUMENTARIES, FICTIONALIZED A TRUE STORY. NOT GENERALLY CONSIDERED TO BE A WELL-MADE FILM",,,,,,TRUE,1969,10/23/1969,"George Segal, Robert Vaughn, Ben Gazzara, Bradford Dillman",,FALSE,USA,John Guillermin,"Action, Drama, War","In the last days of World War II, the Allied Army desperately searched for a bridgehead across the impenetrable Rhine River, in order to launch a major assault into the center of Germany. ""Bridge at Remagen"" tells the true story of the battle for this last bridgehead, from both the German and American perspective.",https://m.media-amazon.com/images/M/MV5BNjNkMzkxM2QtMTkwNy00NGI3LTgxYWMtMmNmZjc5OTI3OWY4XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,R,Vietnam War,115,The Bridge at Remagen,58%,,6.7,tt0064110,"8,520"
"MEN, THE",THE MEN,APPROVED,ARMY AND VETERANS ADMINISTRATION GAVE FULL COOPERATION FOR BRIEF COMBAT SEQUENCE IN WHICH MARLON BRANDO RECEIVES A PARALYZING WOUND AND FOR FILMING IN VETERANS HOSPITAL SHOWING HOW SERVICE WORKED TO REHABILITATE PARALYZED VETERANS. VERY FRANK DISCUSSION OF SEXUAL IMPOTENCE ARMY AND VA FELT IT HAD GOOD INFORMATIONAL VALUE. BRANDO'S FIRST FILM ROLE,,,,,,TRUE,1950,8/25/1950,"Marlon Brando, Teresa Wright, Everett Sloane, Jack Webb",Nominated for 1 Oscar. Another 3 wins & 2 nominations.,TRUE,USA,Fred Zinnemann,Drama,"Ex-GI Ken who as a result of a war wound is paralyzed below the waist. In the hospital back home, he passes through an initial period of depression with the help of a sympathetic Dr. Brock and his faithful fianc̩e Ellen. Ken's bitter isolation is also overcome with the help of his fellow patients, especially the intelligent young cynic Norm, the witty Leo and serious young Angel. Soon Ken throws himself into the work rehabilitation and after a long period of physical therapy even suspects he may regain the use of his limbs. With the approval and help of the doctor, he and Ellen marry, but on their wedding night both have misgivings about the marriage: the full realization of Ellen's new responsibilities frighten her and makes her more uncertain than ever, and Ken reverts to self-pity. There is a violent argument, and he goes back to the hospital. But his blazing anger finds no sympathy from his buddies, and after a surprising conversation with Dr. Brock, Ken realizes that he must return to his wife, with whom he must try to build his new life, in spite of all the attendant difficulties.",https://m.media-amazon.com/images/M/MV5BNGM1NDI3MGUtMWMxYS00OTQ4LWFiNWMtMTgxY2E4MTUzYTQ4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,Passed,Korean War,85,The Men,77%,,7.2,tt0042727,"3,814"
"D.I., THE",THE D.I.,APPROVED,"THIS IS THE CLASSIC PORTRAYAL OF A D.I. TURNING RECRUITS INTO MARINES. THE CORP'S IMAGE HAD SUFFERED FROM SEVERAL TRAINING ACCIDENTS IN PRIOR YEARS AND JACK WEBB'S PORTRAYAL HELPED RE-ESTABLISH THE IMAGE OF THE CORPS AS COMPRISED OF A FEW GOOD MEN. MARINES PROVIDED FULL COOPERATION AT PARRIS ISLAND, LOCALES, MEN, AND EQUIPMENT.",,,,,,TRUE,1957,3/28/1958,"Jack Webb, Don Dubbins, Jackie Loughery, Lin McCarthy",,FALSE,USA,Jack Webb,Drama,"Gunnery Sergeant Jim Moore is one of the toughest Drill Instructors on Parris Island. But he's got a thorn in his side: Pvt. Owens, who always seems to foul up when the pressure's on. Convinced that ""there's a man underneath that baby powder,"" Sgt. Moore drives Owens to the point of desertion. Making things worse, Capt. Anderson has given Moore three days to make the scared private into Marine material, ""or I'll personally cut the lace off his panties and ship him out!"" Adding to the pressure, Moore also juggles a budding romance with a shop girl.",https://m.media-amazon.com/images/M/MV5BYWYzZjgyYWYtNDk3NS00NDcxLWFkY2YtYTI1MmE5YjM3YTgyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,,Vietnam War,106,The D.I.,79%,,7.4,tt0050283,746
ROCKETS RED GLARE,ROCKETS RED GLARE,APPROVED,"APPROVED FILMING AT VARIOUS SITES AT VANDENBERG AIR FORCE BASE, CA, FOR APPROXIMATELY ONE WEEK. INCLUDED AIR FORCE VEHICLES AND EXTRAS. ALTHOUGH MAIN CHARACTER IS A HIGH SCHOOL STUDENT, THERE IS AMPLE VERY POSITIVE AIR FORCE PRESENCE (FAMILY MEMBERS, ETC), AND VERY POSITIVE DEPICTION OF AIR FORCE INVOLVEMENT IN THE US SPACE PROGRAM.",,,,,,TRUE,2000,4/5/2002,"Chris Potter, Paul Scherrer, Andrea Thompson, Amanda Foreman",2 wins.,TRUE,USA,Joseph Manduke,"Family, Thriller",The story of a Vietnam vet forced into the dark world of the Mob in order to support his handicapped brother.,https://m.media-amazon.com/images/M/MV5BODc5MjEyMTA5N15BMl5BanBnXkFtZTcwOTQ2NTUzMQ@@._V1_SX300.jpg,,,105,Rockets' Red Glare,,,7.1,tt0261959,43
LAST ACTION HERO,LAST ACTION HERO,LIMITED,FILM ABOUT COMIC BOOK HERO TIME-TRAVELING BETWEEN COMIC BOOK WORLD AND REAL WORLD. NO MILITARY THEME. REQUESTED PERMISSION TO PIACE FICTIONAL MOVIE PROMOTION SIGN (EVENTUALLY WAS A BALLOON) ATOP THE MILITARY RECRUITING STATION AT TIMES SQUARE IN NYC. WE SAID OKAY. MINOR PLUG FOR THE RECRUITING STATION. FILMED IN JAN 93 WITHOUT INCIDENT,,,,,,TRUE,1993,6/18/1993,"Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance",1 win & 16 nominations.,TRUE,USA,John McTiernan,"Action, Adventure, Comedy, Fantasy","Young Danny Madigan is a big fan of Jack Slater, a larger-than-life action hero played by Arnold Schwarzenegger. When his best friend, Nick the projectionist, gives him a magic ticket to the new Jack Slater film, Danny is transported into Slater's world, where the good guys always win. One of Slater's enemies, Benedict the hitman, gets hold of the ticket and ends up in Danny's world, where he realises that if he can kill Schwarzenegger, Slater will be no more. Slater and Danny must travel back and stop him.",https://m.media-amazon.com/images/M/MV5BNjdhOGY1OTktYWJkZC00OGY5LWJhY2QtZmQzZDA2MzY5MmNmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,PG-13,,130,Last Action Hero,38%,44,6.4,tt0107362,"134,823"
