Title,Subtitle,Status,Year,Remarks,Interesting?
THE EXORCIST III,,DENIED,1990,"MODEST ASSISTANCE DENIED BECAUSE THE FILM HAD PRACTICALLY NOTHING TO DO WITH THE MILITARY AND THEREFORE DIDN'T PROVIDE ANY BENEFIT TO DOD,",
THE GRAND TOUR,,DENIED,,"ON MAY 2, THE DEPARTMENT SENT A MEMO TO THE PRODUCTION COMPANY DENYING APPROVAL DUE TO FACT THAT IT HAD VERY LITTLE TO DO WITH THE DOD ACTIVITIES. NO RECORD OF FILM BEING MADE.",
THE GREEN BERETS,,APPROVED,1968,"JOHN WAYNE ORIGINALLY WROTE DIRECTLY TO PRESIDENT JOHNSON, SAYING HE WANTED TO MAKE A PRO- VIETNAM MOVIE, SHOWING WHY WE HAD TO BE THERE. LONG NEGOTIATIONS, ORIGINAL SCRIPT SHOWED GREEN BERETS GOING INTO NORTH VIETNAM, WHICH ARMY REQUIRED BE DELETED. AFTER APPROVAL, ARMY ALLOWED FILMING ON FORT BENNING GEORGIA. CHARGED $13,000 FOR ALL HELP. THIS WAS A SECOND PROJECT WITH THIS TITLE. FIRST DIED AFTER APPROACH TO DOD",
THE HANDMAID'S TALE,,DENIED,1990,"THE PRODUCTIONS REQUEST FOR EQUIPMENT FROM THE NATIONAL GUARD BUREAU WAS DENIED. THE STORY NOT BENEFIT THE DOD, IT WAS SET 20-30 YEARS IN THE FUTURE WITH NO REFERENCE TO THE US, IT RAISED CONTROVERSY.",
THE HAUNTING OF SARAH HARDY,,APPROVED,1989,"THE NATIONAL GUARD BUREAU PROVIDED A HELICOPTER TO THE PRODUCTION AFTER THERE WERE NO COMMERCIALLY AVAILABLE HELICOPTERS FOR RENT AND OREGON NATIONAL GUARD PUBLIC AFFAIRS OFFICER VERIFIED IT. NO RECORD OF MOVIE BEING MADE.",
THE HUNT FOR RED OCTOBER,,APPROVED,1990,"THE SCRIPT WAS VERY POSITIVE FOR THE NAVY. (THIS FILM WAS RELEASED IN 1999 BUT FILMED IN 1939) THE FILM WAS APPROVED BY THE DEPARTMENT AND THE NAVY. ASSISTANCE INCLUDED USE OF AIRCRAFT, AN AIRCRAFT CARRIER, A SURFACE WARSHIP (USED TO DEPICT THE RED OCTOBER ENGINE ROOM) AND A NUCLEAR ATTACK SUBMARINE.",
THE INNOCENT,,LIMITED,1996,"APPROVED USE OF EXTERIOR OF TEMPELHOF AIRPORT IN BERLIN (AIR FORCE CONTROLLED) TO SERVE AS A PERIOD BACKGROUND FOR FILM, BASED ON USIA/AMERICAN EMBASSY BONN REQUEST 91 THE FACT THAT THE FACILITY WOULD SOON BE TURNED OVER TO THE GERMAN GOVT — COURTESY ASSISTANCE. NOT RELEASED IN US UNTIL 1999",
THE LADY TAKES AN ACE,DSAT,DENIED,,"MINOR MILITARY INVOLVEMENT, BUT NAVAL AVIATOR BACKGROUND — NEGATIVE, STEREOTYPICAL AVIATOR BEHAVIOR u UN REALISTIC DEPICTION OF MISSIONS. NO RECORD OF FILM BEING MADE",
THE LAST DETAIL,,DENIED,1973,"NAVY HAD PROBLEMS WITH FILM FROM BEGINNING. REFUSED TO MEET WITH PRODUCER SAYING HE WOULD BE WASTING TIME COMING TO WASHINGTON. STORY HAD TWO NAVY MP PETTY OFFICERS ASSIGNED AS SHORE PATROL TO ESCORT A ""FELON"" FROM NAVAL BASE, NORFOLK, TO PRISON IN NEW HAMPSHIRE FOR STEALING A FEW DOLLARS FROM CHURCH COLLECTION BOX. ALONG THE WAY, THE MPS SHOW THE PRISONER SOME FUN INCLUDING DRINKING AND SEX. FILMMAKERS DID ""STEAL"" A SHOT OF GATE AT NORFOLK BASE TO GIVE SOME AMBIANCE",Y
THE LIVING DAYLIGHTS,,DENIED,1987,"THE REQUEST FOR DOD ASSISTANCE AND APPROVAL WAS CANCELLED. THE PRODUCTION COMPANY INITIALLY REQUESTED THE USE OF A NAVY CARRIER.",
THE LONG GRAY LINE,,APPROVED,1955,FULL COOPERATION AT WEST POINT FOR STORY OF IRISH ATHLETIC TRAINER WHO ARRIVED AS AN IMMIGRANT AND STAYED HIS WHOLE LIFE AT THE MILITARY ACADEMY. HE KNEW ALL THE GREAT GENERALS WHO PASSED THROUGH THE DOOR INCLUDING PRESIDENT EISENHOWER. ARMY GAVE FULL COOPERATION TO STORY OF ATHLETIC TRAINER AT WEST POINT. ALL EXTERIOR FILMING DONE THERE.,
THE NIGHT OF THE LIVING DEAD,,DENIED,1990,"THE FILM [HAD] NO BENEFIT TO THE MILITARY, RECRUITING, RETENTION, OR OTHERWISE. NOR WAS IT ACCURATE OR FEASIBLE. SO THE ANG DENIED USE OF AIRCRAFT, VEHICLES, AND PERSONNEL.",
THE PACKAGE,,DENIED,,THE DEPARTMENT AND THE ARMY DENIED ASSISTANCE. THE DOD AND THE AIR FORCE PROVIDED ONLY COURTESY ASSISTANCE BEING A VISIT TO SEE AND SHOOT STILLS OF AN AIR FORCE TRANSPORT PLANE,
THE Q STREET,,DENIED,,"DOD AND NAVY ASSISTANCE WAS DENIED BECAUSE THE FILM FEATURES A GOV. ORDERED & SANCTIONED ASSASSINATION OF A VERY IMPORTANT US CITIZEN, WHILE HELD FORCIBLY AT THE BETHESDA NAVAL HOSPITAL. NO FILE. NO RECORD OF FILM BEING MADE",Y
THE RIGHT STUFF,,APPROVED,1983,"AFTER SO MUCH CONTROVERSY, ALL THE SERVICES, AND THE NAACP ALSO APPROVED OF THE FILM. DURING THE COURSE OF APPROVAL, THERE WAS SOME CONTROVERSY ON RACISM. IN THE BEST INTEREST OF THE DEPARTMENT TO PROVIDE THE LIMITED MILITARY ASSISTANCE",
THE ROCK,,OTHER,1996,"JERRY BRUCKHEIMER AND MICHAEL BAY PROBABLY KNEW THEY COULD NOT OBTAIN ASSISTANCE FOR A SCRIPT WHICH SHOWS A RETIRED MARINE GENERAL THREATENING TO DESTROY SAN FRANCISCO WITH A ROCKET LAUNCHED FROM ALCATRAZ. FULL OF HOLES. AS WITH TWILIGHT'S LAST GLEAMING, ABSURD TO THINK A GENERAL WOULD PUT HIMSELF IN A POSITION WITH NO WAY OUT. ABSURD, BUT SOMETIMES EXCITING.",Y
THE ROCKETEER,,APPROVED,1991,"COURTESY ASSISTANCE WAS PROVIDED AS A POSITIVE COMMUNITY RELATIONS INITIATIVE. SAFETY, LIABILITY PROTECTION, AND REIMBURSEMENT WERE ACKNOWLEDGED AS BEING RESPONSIBILITIES OF THE PRODUCTION.",
THE SEARCH FOR BILLY,,OTHER,,"THE PRODUCTION APPARENTLY WITHDREW REQUEST FOR ASSISTANCE AFTER NO BASIS WAS FOUND TO PROVIDE ASSISTANCE. BOTH THE AIR FORCE AND THE DOD FELT IT WAS JUNK. NO RECORD OF FILM BEING MADE.",
THE SILENCE OF THE LAMBS,,APPROVED,1991,"THE FILM WAS APPROVED BY THE NGB AS WELL AS THE DOD. IT WAS THOUGHT THAT THE DEPICTION OF A PRISONER TRANSFER IN A MILITARY HANGAR FOR SECURITY PURPOSES WAS REASONABLY ACCURATE AND POSITIVE. ANG ASSISTED. ALSO, REQUEST FOR FOOTAGE OF A C-13B WAS PROVIDED BY THE 146TH TACTICAL AIRLIFT WING.",
THE SOUND OF MUSIC,,OTHER,1965,NAVY PROVIDED AN PETTY OFFICER TO TEACH CHRISTOPHER PLUMMER HOW TO BLOW A BOSUN'S PIPE FOR EARLY SCENE IN FILM,
THE SPEED OF LIGHT,,OTHER,,"AFTER THE PRODUCTION, WROTE THE NAVY AND THEY WANTED A REWRITE. THERE WAS NO OTHER INFORMATION. NO FILE, NO RECORD OF FILM BEING MADE.",
THE SULLIVANS,THE FIGHTING SULLIVANS,APPROVED,1944,"FILM ABOUT FIVE SULLIVAN BROTHERS WHO DIED ABOARD THE USS JUNO AFTER THE BATTLE OF GUADALCANAL SEA WHEN A JAPANESE SUBMARINE HIT THE CRIPPLED CRUISER WITH A TORPEDO. VERY LITTLE ACTION OF NAVY IMAGES, BUT CLOSING SCENE IN WHICH THE PARENTS CHRISTEN THE DESTROYER ""THE SULLIVANS"" (FIRST NAVY SHIP TO BE NAMED AFTER MORE THAN ONE PERSON), BRINGS TEARS TO EYES TODAY AND HELPED WAR BOND DRIVES. ALSO THE DEATHS BROUGHT ABOUT NEW MILITARY DIRECTIVE THAT BROTHERS COULD NOT SERVE TOGETHER-MENTIONED IN ""SAVING PRIVATE RYAN.""",Y
THE TUSKEGEE AIRMEN,NEVER PRODUCED,APPROVED,,"THE FILM WAS APPROVED BY THE AIR FORCE, ARMY, AND THE DEPARTMENT OF DEFENSE IN NOVEMBER, 1984 AFTER MUCH SCRIPT NEGOTIATIONS. FINAL DRAFT, PROVED TO BE HISTORICALLY ACCURATE. PROJECT EXISTED FOR MANY, MANY YEARS AND THIS EFFORT WAS NOT SUCCESSFUL (THIS PRODUCER, THIS PROJECT).",
"THE ULTIMATE SOLUTION OF GRACE QUIGLEY, GRACE QUIGLEY",,LIMITED,1985,THE NAVY AGREED TO GIVE ASSISTANCE BY LENDING SEVERAL DECORATIONS FOR THE FILM.,
THE UNBELIEVER,,APPROVED,1918,WORLD WAR I FILM ABOUT MARINE TRAINING AND FIGHTING IN EUROPE. MARINES PROVIDED FULL COOPERATION DURING SHOOTING AT QUANTICO. HELPED CREATE BATTLE SCENES AND PROVIDED MARINES AS EXTRAS. MARINE CORPS USED FILM FOR RECRUITING PURPOSES BY WRITING TO THE NEWSPAPERS OF HOME TOWNS OF MEN WHO HAD PARTICIPATED ON THE MOVIE AND THEN SET UP RECRUITING BOOTHS IN LOBBIES OF THE THEATERS SHOWING FILM. CONTAINS EARLY RITE OF PASSAGE FORMULA THAT SUBSEQUENT MARINE FILMS FOLLOWED,YY
THE UNDERCOVER KID,HOW I SAVED THE PRESIDENT,LIMITED,1996,"REQUESTED USE OF ARMY PARKING LOT FOR BACKGROUND OF SHOT — ARMY NEGOTIATED INCLUSION OF SPECIAL OPS URBAN WARFARE TRAINING SCENE, JUSTIFYING USE OF (ARMED FORCES RESERVE CENTER) PARKING LOT AND MILITARY VEHICLES.",
THE VISITING,THE INVASION (REMAKE OF THE INVASION OF THE BODY SNATCHERS),APPROVED,2007,"APPROVED FLYING ARMY UH-60 BLACK HAWK HELICOPTER (FROM FT BELVOIR) TO ENACT A RESCUE MILITARY RESCUE SCENE FOR END OF PICTURE. SCENE FILMED ON A ROOFTOP IN DOWNTOWN BALTIMORE. A TROUBLED PICTURE, FIRED DIRECTOR, REDONE ENDING. THERE WAS ADDITIONAL FILMING WITH A STATIC BLACK HAWK IN LA FOR REVISED ENDING.",Y
THEY WERE EXPENDABLE,,APPROVED,1945,"ONE OF THE WORLD WAR II NAVY CLASSICS, ALBEIT RELEASED AFTER THE WAR. TRUE STORY OF PT BOATS IN THE PHILIPPINES AFTER PEARL HARBOR AND RESCUE OF GENERAL MACARTHUR FROM CORRIGIDOR. JOHN FORD RECEIVED FULL COOPERATION, MEN AND BOATS, FOR FILMING IN FLORIDA KEYS. ROBERT MONTGOMERY PLAYED LIEUTENTANT JOHN B BUCKLEY, SQUADRON COMMANDER. JOHN WAYNE PLAYED HIS XO. ONLY THE NAMES WERE CHANGED.",
"THIN RED LINE, THE",,OTHER,1964,GOOD VERSION OF JAMES JONES' BOOK ABOUT COMBAT ON GUADALCANAL. MADE IN SPAIN BECAUSE STUDIO HAD MONEY TIED UP IN SPANISH BANK WHICH IT COULD NOT TRANSFER,
"THIN RED LINE, THE",,DENIED,1998,"EARLY ON, PRODUCER MISUNDERSTOOD ARMY'S COMMENTS AND THOUGHT HE HAD RECEIVED APPROVAL. DESPITE MANY ""POLITICAL"" CONTACTS, ARMY REFUSED TO ASSIST DUE TO LACK OF ANY KIND OF BALANCE IN THE SCRIPT. NO EQUIPMENT TO PROVIDE IN ANY CASE",
THIRTY SECONDS OVER TOKYO,,APPROVED,1944,"STORY OF DOOLITTLE'S RAID ON JAPAN FROM VIEW OF TED LAWSON, ONE OF THE PILOTS. ARMY AIR CORPS PROVIDED FULL COOPERATION IN FORM OF B-25 BOMBERS, LOCATION SHOOTING AT EGLIN AIR FORCE BASE WHERE ACTUAL TRAINING TOOK PLACE, AND LOAN OF THREE PLANES FOR SHOOTING ON MGM SOUNDSTAGE. REASONABLY ACCURATE EXCEPT FOR NOT IDENTIFYING CHINESE RESCUERS AS BEING COMMUNISTS",
THREE WISHES,,APPROVED,1995,"COMPANY REQUESTED USE OF FORT MACARTHUR (USAF) IN LA AREA TO DRESS AS ANDREWS AFB HOSPITAL AS BACKGROUND FOR SCENE IN WHICH SON OF MIA AIR FORCE OFFICER IS BEING TREATED. MILITARY DEPICTION ACCURATE AND POSITIVE, THOUGH FILM HAS LITTLE TO DO WITH MILITARY.",
"TIME TO KILL, A",,APPROVED,1996,APPROVED USE OF MISSISSIPPI NATIONAL GUARD FOR A FEW DAYS TO ENACT RIOT-PREVENTION EFFORTS IN SMALL SOUTHERN TOWN (FICTIONAL DRAMA),
TO THE SHORES OF TRIPOLI,,APPROVED,1942,"MARINE PREPAREDNESS FILM, SHOT AT RECRUIT DEPOT IN SAN DIEGO. PEARL HARBOR OCCURRED BEFORE FILM WAS RELEASED, SO TAG ADDED SHOWING MARINES BOARDING SHIPS FOR ACTION IN THE PACIFIC.",
TOMORROW NEVER DIES,,APPROVED,1997,"PRODUCTION COMPANY MADE A FEW TECHNICAL CHANGES AND WE APPROVED ASSISTING JAMES BOND IN MAKING A HALO JUMP FROM ONE OF ""OUR"" RAF BASES IN ENGLAND.",
TOP GUN,,APPROVED,1986,"DOD AND THE NAVY APPROVED ASSISTANCE ON THE FILM SINCE IT CLEARLY PORTRAYED THE NAVY IN A VERY POSITIVE LIGHT. FIRST CONTACT WAS MEETING BETWEEN PRODUCERS AND NAVY PUBLIC AFFAIRS FIRST WEEK IN JUNE, 1933. FIRST SCRIPT DELIVERED TO DOD 15-NOV-1983. FILM COMPLETED REHABILITATION OF THE MILITARY'S IMAGE, WHICH HAD BEEN SAVAGED BY THE VIETNAM WAR.",
TORA! TORA! TORA!,,APPROVED,1970,"NAVY GAVE FULL COOPERATION TD RECREATION OF PEARL HARBOR, EVEN THOUGH IT SHOWED WORST NAVY DEFEAT OF ALL TIME. ACCORDING TO DIRECTOR, NAVY HELPED BECAUSE IT SHOWED VALUE OF AIRCRAFT CARRIERS, AND WARNED NATION TO REMAIN ALERT TO FUTURE SNEAK ATTACKS. ONLY REAL PROBLEM RESULTED FROM CONGRESSIONAL CONCERN OVER USE OF CARRIER, AS REPORTED ON ""00 MINUTES,"" WHICH CLAIMED STUDIO WAS GETTING FREE TRANSPORT OF PLANES TO HAWAII. NOT TRUE.",Y
TORPEDO ALLEY,,APPROVED,1952,"SUBMARINE STORY WHICH BEGINS AT END OF WORLD WAR II AND FOCUSES ON KOREAN WAR IN WHICH SUBMARINES ACTUALLY HAD NO ROLE. ONLY ACTION ON LAND, BUT NAVY PROVIDED A SUBMARINE APPROVED ASSISTANCE",
TORPEDO RUN,,APPROVED,1958,DULL WORLD WAR II SUBMARINE STORY WHICH RECEIVED THE USUAL SUBMARINE FROM THE NAVY. BASED LOOSELY ON TRUE STORY IN WHICH A SUB CAPTAIN SINKS A JAPANESE FREIGHTER (WHILE TRYING TO HIT AN AIRCRAFT CARRIER] ON WHICH HIS FAMILY WAS SAILING TO POW CAMP,
TOWERING INFERNO,,APPROVED,1974,"NAVY PROVIDED A COUPLE OF HELICOPTERS FOR SEVERAL DAYS OF SHOOTING. SERVICE CONSIDERED FILM SHOWED ITS AIRCRAFT DOING WHAT THEY WOULD DO IN A DISASTER AS PORTRAYED IN FILM. HOWEVER, ONE HELICOPTER IS SHOWN CRASHING ON BUILDING, NOT A VERY GOOD IMAGE.",
TOY SOLDIERS,,APPROVED,1991,"ARMY AND ARMY NATIONAL GUARD GAVE ASSISTANCE TO THE PRODUCTION AFTER WORKING OUT DETAILS OF FBI/MILITARY COMMAND AND CONTROL AND ISSUES PERTAINING TD USE OF US MILITARY FORCES IN THE US. PRODUCTION COMPANY ALSO INCREASED THE MILITARY THREAT POSED BY THE TERRORISTS, TO JUSTIFY FBI REQUESTING US MILITARY AUGMENTATION. POSITIVE, REASONABLY ACCURATE DEPICTION.",
TRANSFER OF COURAGE,,APPROVED,,AND ALSO PROVIDED TENTAGE AND SANDBAGS THAT WERE NOT COMMERCIALLY AVAILABLE. FILM FOUND DOD AND MARINE CORPS AGREED TO USE OF WAKE ISLAND. WAS REASONABLY ACCURATE IN ITS PORTRAYAL OF EVENTS. DON'T KNOW IF FILM EVER PRODUCED (MONEY PROBLEMS).,
TRANSFORMERS,,APPROVED,2007,"APPROVED FILMING WITH ARMY & AIR FORCE AIRCRAFT (FLYING AND STATIC), VEHICLES, AND PERSONNEL AT EDWARDS, HOLLOMAN, AND KIRTLAND AIR FORCE BASE, WHITE SANDS MISSILE RANGE, AND VARIOUS CIVILIAN LOCATIONS. MILITARY EXTRAS SERVED AS BACKGROUND AT THESE INSTALLATIONS AND ALSO ON SETS IN THE LOS ANGELES AREA, PRINCIPALLY A PENTAGON COMMAND CENTER SET. ALSO FILMED AN ARMY BLACK HAWK HELICOPTER APPROACHING AND LANDING AT THE PENTAGON HELIPAD (AERIAL AND GROUND PHOTOGRAPHY).",
TRANSFORMERS DARK OF THE MOON,TRANSFORMERS 3,APPROVED,2011,"APPROVED FILMING FOR SEVERAL DAYS IN JUNE 2010, WITH STATIC ARMY AND MARINE CORPS ROTARY WING AIRCRAFT AND VEHICLES IN AND AROUND A BOEING CORPORATION HANGAR AT LONG BEACH, CA. SUBSEQUENTLY APPROVED FILMING WITH ARMY AND ARMY NATIONAL GUARD EXTRAS AND VEHICLE OPERATORS IN A DUTY STATUS IN AND AROUND THE CHICAGO, IL, VICINITY. ",
TRANSFORMERS: REVENGE OF THE FALLEN,TRANSFORMERS II,APPROVED,2009,DOD SUPPORT NOTIFICATION LETTER SIGNED — PHASE 1,
"TREASURE OF VICTORIA PEAK, THE",,DENIED,,"THE FILM WAS FOUND TO BE NEGATIVE AND POSSIBLY MISLEADING. THE REQUEST FOR PERSONNEL, EQUIPMENT, AND ON SITE LOCATION WAS DENIED.",
TRIPWIRE,,DENIED,1989,"THE ARMY, AS WELL AS THE NATIONAL GUARD BUREAU, VIEWED THE FILM AND CONCLUDED THAT IT HAD TOO LITTLE MILITARY INVOLVEMENT IT DID NOT TELL AN ARMY STORY. SUPPORT WAS DENIED WITH DOD CONCURRING. NO RECORD OF FILM BEING MADE",
TROJAN HORSE,,DENIED,,THE FILM WAS DENIED BECAUSE IT DEPICTED THE PEACETIME ACTS OF WAR. IT ALSO PORTRAYED THE MURDER BY US MILITARY PERSONNEL OF A SIZEABLE NUMBER OF CZECH OFFICIALS AND MILITARY PERSONNEL. NO RECORD OF FILM BEING MADE,
"TRUEST SPORT, THE",,APPROVED,,APPROVED BY ALL SERVICES. ALL EQUIPMENT AND ASSISTANCE WAS APPROVED. VERY POSITIVE PICTURE ABOUT THE VIETNAM WAR. NO RECORD OF FILM BEING MADE,
TUGGER,,APPROVED,2005,"APPROVED WHAT IS ESSENTIALLY NON-PRODUCTION ASSISTANCE: TECHNICAL ADVICE, STOCK FOOTAGE, RESEARCH, INTERVIEWS, ETC. THIS IS AN ANIMATED FILM FOR CHILDREN THAT FEATURE THE USAF THUNDERBIRDS.",
TURKEY SHOOT,,APPROVED,1982,SCRIPT WAS APPROVED BY THE DEPARTMENT AS WELL AS THE NAVY AFTER BEING REVIEWED AND FINDING EVERYTHING QUITE FACTUAL. NO RECORD OF FILM EVER BEING MADE,
TWELVE O'CLOCK HIGH,,APPROVED,1949,AIR FORCE PROVIDED FULL COOPERATION INCLUDING 12 B-II'S WHICH WERE RESTORED TO WORLD WAR II VINTAGE. CLASSIC AIR FORCE STORY AS WELL AS LEADERSHIP STORY. FILM STILLED USED TO ILLUSTRATE TENSIONS OF LEADERSHIP,
TWILIGHT'S LAST GLEAMING,,OTHER,1977,"A POST-WAR VIETNAM FILM IN WHICH A RETIRED AIR FORCE OFFICER, BURT LANCASTER, SEIZES A SAC MISSILE SILO AND DEMANDS THE PRESIDENT READ A MEMO SHOWING OUR VENALITY IN VIETNAM. IN THE END THE VENALITY IS SHOWN WHEN THE GOVERNMENT ORDERS THE KILLING OF THE PRESIDENT WHO IS BEING HELD AS A HOSTAGE. FAR—FETCHED AND CERTAINLY SAC WOULD NOT WANT TO SHOW THAT IT MIGHT BE POSSIBLE TO INFILTRATE. ONE OF ITS SILOS",
TWISTER,,APPROVED,,THE NGB BUREAU AND THE DEPARTMENT APPROVED THE USE OF STOCK FOOTAGE FOR THE FILM. FILM BARELY RELEASED — NOT THE HIGHLY SUCCESSFUL 1996 FILM ABOUT TORNADO CHASERS,
TWISTER'S REVENGE,,APPROVED,,DOD AND NATIONAL GUARD DECIDED TO SUPPORT THE FILM SO THAT IT MAY HELP THE LOCAL ECONOMY. IT ALSO MEANT TEMPORARY EMPLOYMENT FOR 3 OR 4 NATIONAL GUARD PERSONNEL. NO RECORD OF FILM BEING MADE.,
U-571,,OTHER,2000,"SUBMARINE MOVIE TO END ALL SUBMARINE MOVIES. DIRECTOR WANTED TO SHOW LIFE ABOARD A WWII SUBMARINE AND HE DID. HOWEVER, THE STORY EXCEEDS THE LIMITS OF DRAMATIC LICENSE AND BEARS NO RESEMBLANCE TO HISTORICAL REALITY OR ACCURATE PORTRAYALS OF LIFE ABOARD A SUBMARINE.",
UNDER SIEGE,AKA DREADNAUGHT,DENIED,1992,"DECLINED ASSISTANCE, BUT COORDINATED FOR AERIAL REASON: AIR SAFETY CONSIDERATIONS PHOTOGRAPHY WHILE USS MISSOURI WAS PARTICIPATING IN WWII COMMEMORATIVE CEREMONY AT PEARL HARBOR",
UNITED 93,,APPROVED,2006,"APPROVED A VERY MODEST AMOUNT OF ASSISTANCE, PRIMARILY IN THE FORM OF ACTUAL AIR FORCE AIR DEFENSE OFFICERS AND ENLISTED PERSONNEL (SEVERAL WHO HAD BEEN ON DUTY IN THE ROME, NY, AIR DEFENSE CENTER ON 9/11) ON THE SET FOR A WEEK OR SO IN LONDON WHERE THE NORTH AMERICAN AIR DEFENSE SECTOR HAD BEEN SKILLFULLY RECREATED. EARLIER PLANS TO REENACT AIR DEFENSE FIGHTERS SCRAMBLING HAD BEEN APPROVED BUT THE FILMMAKERS DECIDED THESE WEREN'T NECESSARY. THIS PICTURE IS UNIQUE IN HAVING NO ACTUAL SCRIPT, ONLY A TREATMENT, AS THE DIRECTOR WANTED TO CREATE A CINEMA-VERITE STYLE, WITH ""REAL PEOPLE"" AND ACTORS IMPROVISING ON THE SET. THIS LED TO SOME AWKWARDNESS THE FIRST DAY OF FILMING, BUT GRADUALLY THINGS WORKED OUT, AS THE ACTORS BASICALLY STARTED MEMORIZING THEIR LINES THAT WORKED TECHNICALLY AND DRAMATICALLY",
VENGEANCE OF A SOLDIER,,DENIED,,THE FILM WAS FOUND TO BE INACCURATE AND NON-BENEFICIAL TO THE NAVY NOR THE DEPARTMENT. THE REQUEST FOR STOCK FOOTAGE AND OTHER ASSISTANCE WAS DENIED. FILE CONTAINS NO RELEVANT CORRESPONDENCE,
VICTORS,,OTHER,1964,"MAJOR ANTI-WAR FILM WHICH FOLLOWS A UNIT OF SOLDIERS ACROSS EUROPE TO END OF WAR. THERE ONE OF THE HEROES AND A RUSSIAN SOLDIER FIGHT AND KILL EACH OTHER, A PROPHECY OF WHAT HAPPENED. MADE IN EUROPE AND SO NO NEED FOR COOPERATION",
"VISITOR, THE",,APPROVED,2007,"APPROVED FILMING WITH AN ARMY BLACK HAWK HELICOPTER AND EIGHT SOLDIERS IN BATTLE GEAR, ATOP A HIGH RISE BUILDING (POLICE HQ) IN BALTIMORE, MD, FOR TWO EVENINGS, TO ENACT A MILITARY RESCUE SEOUL EN CE.",
"VON METZ INCIDENT, THE",,DENIED,,"NAVY DENIED THE FILM FINDING IT NO BENEFIT TO THE US NAVY. REQUEST TO FILM AT NAVAL INSTALLATION, WAS TURNED DOWN. NO RECORD OF FILM BEING MADE",
VON RYAN'S EXPRESS,,OTHER,1965,DID NOT REQUEST ASSISTANCE,
WAITING FOR THE LIGHT,,LIMITED,1990,STOCK FOOTAGE WAS APPROVED FOR THE FILM.,
WAKE ISLAND,,APPROVED,1942,"STORY OF MARINE DEFENSE OF WAKE ISLAND MADE WITH FULL COOPERATION. UP TO DEPARTURE OF MARINE, FILM CONTAINS ACCURATE REPRESENTATION. AFTER THAT, SCREENWRITER'S IMAGINATION TAKES OVER. HIGHLY EFFECTIVE MOVIE",
WALK IN THE SUN,,APPROVED,1945,"ONE OF THE CLASSIC WORLD WAR II FILMS. HOWEVER, RELEASED AFTER WAR OVER AND PEOPLE WANTED TO FORGET WAR. INFLUENCED SAVING PRIVATE RYAN",
WAR GAMES,THE GENIUS,DENIED,1983,THE THEME OF THE FILM GOES AGAINST EVERYTHING DOD EVER SAID ON THE SUBJECT OF ACCIDENTAL NUCLEAR WARFARE. PLOT ABSURD AND IMPLAUSIBLE. THE AIR FORCE FELT THAT THE BASIC CONCEPT OF THE FILM WAS UNACCEPTABLE. NO FORMAL REQUEST FOR ASSISTANCE EVER MADE AND JOHN HORTON ASKED DON BARUCH NOT TO PUT FORMAL TURN DOWN IN WRITING IN LETTER OF 22-JUNE-1981.,
WAR HUNT,,DENIED,1962,"SMALL STORY ABOUT KOREA. SOLDIER STEALS OFF INTO NIGHT TO KILL NORTH KOREAN ENEMY. AFTER ARMISTICE, HE CONTINUES TO KILL, POSING A THREAT TO PEACE. SO, HIS OWN MEN MUST KILL THE KILLER WHO IS CLEARLY DOING WHAT ARMY TAUGHT HIM TO DO. PENTAGON REFUSED ANY ASSISTANCE SHOWING ONE OF ITS MEN KILLING A FELLOW OFFICER",
WAR OF THE WORLDS,,OTHER,2005,"REMAKE OF THE HG WELLS CLASSIC. STARRING TOM CRUISE AND TIM ROBBINS, DIRECTED BY STEVEN SPIELBERG. ARMY SUPPORTED WITH SOLDIERS AND VEHICLES IN CONNECTICUT, NEW JERSEY, VIRGINIA; USMC 1ST TANK BATTALION AND 1ST LAR BN PROVIDED VEHICLE AND PERSONNEL SUPPORT. SHOOTING TOOK PLACE 28 FEB — 7 MARCH JUST NORTH OF LA.",
WAR PARTY,,OTHER,1988,"THE COMPANY WENT ON THEIR OWN AND WITHDREW REQUEST FOR DOD ASSISTANCE. CALVARY AND INDIAN FILM WITH NO BASIS FOR ASSISTANCE",
WE WERE SOLDIERS,WE WERE SOLDIERS ONCE... AND YOUNG,APPROVED,2002,"SCREEN ADAPTATION OF THIS WELL-KNOWN VIETNAM TRUE STORY, ABOUT THE TRAINING OF A UNIT THAT EVENTUALLY TOOK PART IN THE FIRST MAJOR GROUND ENGAGEMENT WITH A LARGE NORTH VIETNAMESE ARMY FORCE IN 1964, AND STARRING MEL GIBSON AS THE ACTUAL ARMY OFFICER. APPROVED PRODUCTION ASSISTANCE, WHICH INCLUDED FILMING FOR SEVERAL WEEKS AT FORT BENNING, GEORGIA, AND FOR APPROXIMATELY ONE MONTH AT FORT HUNTER-LIGGETT, CA (AS VIETNAM). ALSO INVOLVED STATIC/FLYING HELICOPTERS, ARTILLERY PIECES, MILITARY EXTRAS, AND OTHER FORMS OF (ARMY) EQUIPMENT. ALSO CONDUCTED COMPREHENSIVE ACTOR ORIENTATION (INCLUDING MR GIBSON) AT FORT BENNING.",
WHAT PRICE GLORY,,APPROVED,1926,"CLASSIC MARINE STORY WHICH BECAME FILM AGAINST WHICH ALL OTHERS MEASURED. MARINES GAVE ASSISTANCE, ALTHOUGH COMBAT SEQUENCES ARE SPARSE. BASED ON ANTI-WAR PLAY, BUT END RESULT OF FILM IS TO SUGGEST WAR WAS A POSITIVE EXPERIENCE",
